Date,Open,High,Low,Close,Adj Close,Volume
2018-12-26,28.080000,31.590000,27.270000,31.530001,31.322002,13894400
2018-12-27,30.080000,32.209999,28.660000,32.200001,32.200001,14909600
2018-12-28,32.740002,33.430000,31.500000,32.009998,32.009998,13116100
2018-12-31,32.669998,32.919998,31.879999,32.900002,32.900002,9072100
2019-01-02,31.320000,33.320000,31.260000,32.930000,32.930000,10629200
2019-01-03,32.169998,32.270000,30.340000,30.490000,30.490000,10652700
2019-01-04,31.799999,33.860001,31.639999,33.570000,33.570000,13208800
2019-01-07,33.750000,35.020000,33.320000,34.380001,34.380001,7787400
2019-01-08,35.389999,35.580002,34.240002,35.310001,35.310001,7245700
2019-01-09,35.680000,36.240002,35.139999,35.830002,35.830002,7309500
2019-01-10,35.150002,36.330002,34.830002,36.230000,36.230000,5935800
2019-01-11,35.700001,36.240002,35.430000,36.240002,36.240002,5612300
2019-01-14,35.369999,35.970001,35.169998,35.580002,35.580002,3991500
2019-01-15,35.770000,36.950001,35.770000,36.810001,36.810001,6128400
2019-01-16,37.009998,37.480000,36.900002,37.020000,37.020000,5783700
2019-01-17,36.639999,38.310001,36.630001,37.910000,37.910000,5419400
2019-01-18,38.779999,39.610001,38.369999,39.349998,39.349998,7009700
2019-01-22,38.639999,38.730000,37.000000,37.810001,37.810001,7651500
2019-01-23,38.299999,38.599998,36.830002,37.959999,37.959999,7529400
2019-01-24,37.930000,38.340000,37.430000,38.060001,38.060001,6140600
2019-01-25,38.910000,39.400002,38.730000,39.099998,39.099998,6580600
