Year	Latitude	Longitude	maxprecipitation
1997	37.966379	116.459047	21.0904163435
1997	36.561977	117.403927	27.874456459
1997	34.85722	116.181197	33.6697452873
1997	35.390934	110.320908	20.1919619612
1997	35.385845	109.493747	18.6011633246
1997	44.494585	70.734688	51.6460539784
1997	45.390602	68.657487	36.5589447004
1997	45.507482	69.97604	32.8475306724
1997	46.727057	68.64941	33.6726709714
1997	47.583852	92.463645	34.9501539268
1997	46.261481	105.550508	40.756282991
1997	46.161734	106.701953	39.3795227133
1997	48.365713	106.687883	27.3568714557
1997	47.281174	106.982212	42.1504717897
1997	45.407869	107.518163	28.4200775543
1997	44.492387	109.593598	22.2250850418
1997	45.421905	110.532798	25.2360438725
1997	45.133863	112.892869	19.8344699816
1997	45.535559	111.173443	26.2940717466
1997	46.844225	112.9311	25.1051748951
1997	47.122133	112.382954	26.7713741418
1997	48.314696	114.054319	32.2950249613
1997	45.849237	115.467376	37.7156625548
1997	44.771532	115.637875	49.9207471028
1997	44.928789	113.887841	24.031051232
1997	44.273341	114.252251	38.9214440513
1997	43.394826	115.470751	27.4341559403
1997	43.1877	117.603976	18.5773235036
1997	42.593063	116.142655	17.4611167588
1997	43.064355	118.985949	18.8549200627
1997	43.285904	123.15438	54.4061193098
1997	43.928276	122.897678	58.5569607585
1997	42.788401	120.38979	32.7687654726
1997	42.683761	121.646168	47.2035952001
1997	41.587986	122.533287	78.0050154384
1997	40.647724	123.114404	85.4270987008
1997	40.706673	123.925818	95.7067977909
1997	39.432388	123.442881	77.1034717715
1997	36.240107	121.315573	64.9241714131
1997	36.761006	119.655019	56.7796188468
1997	40.760522	122.04355	78.9140141654
1997	40.721089	120.629931	44.2622877985
1997	40.703311	119.710315	28.0580573206
1997	41.407914	118.127592	16.4377167456
1997	39.977788	116.272208	17.3744458206
1997	39.900211	117.04724	17.8434859586
1997	41.141133	115.351424	19.8028571452
1997	39.417804	114.900945	23.4956245757
1997	37.634605	114.863037	31.9425603192
1997	37.915836	118.875167	49.1143543413
1997	35.717705	113.749689	32.3385584481
1997	36.214236	115.013819	21.6519524763
1997	32.773942	113.910905	30.0204756659
1997	33.729828	116.002239	45.5931372254
1997	34.196398	118.261862	43.0297592077
1997	34.358742	119.133143	84.7217721518
1997	35.346629	118.729506	26.822498626
1997	34.537378	120.038485	117.3070649404
1997	30.770894	102.71986	23.8895809471
1997	37.318831	104.04411	28.4869903696
1997	33.361605	104.469837	28.8152314196
1997	34.93205	108.000255	22.806041159
1997	32.128237	111.783018	22.2560402695
1997	33.346541	112.495534	24.5310544005
1997	35.829692	111.773728	26.3887313179
1997	37.275118	111.815413	26.0675954672
1997	37.623064	109.78932	20.9315698279
1997	36.509669	106.693983	19.6911767213
1997	39.599352	107.90978	32.2572883797
1997	39.972606	108.200685	28.1632697924
1997	37.831622	111.450886	27.0027957789
1997	39.710827	112.794262	21.7601604174
1997	40.125887	109.517748	19.2953684325
1997	42.228788	110.679842	19.8735596801
1997	43.055303	108.605531	20.6167537168
1997	41.660339	108.875676	14.4457042345
1997	41.70359	106.933153	19.1468130344
1997	42.566985	101.072622	38.0784441429
1997	44.002349	102.823802	42.6691918895
1997	25.601043	81.206777	71.5026352641
1997	40.943554	72.692218	49.5325511168
1997	44.564906	68.370703	40.8295956368
1997	44.967009	67.609354	38.9912204071
1997	44.973012	70.444727	40.4193388857
1997	43.808348	70.330375	70.9185203607
1997	43.926488	71.842264	49.126212971
1997	44.468791	72.112168	51.3273493685
1997	44.724021	71.732736	45.0985903097
1997	44.652419	71.289383	47.1749108049
1997	45.917678	69.104548	34.4918906612
1997	44.108971	73.777573	35.9344071659
1997	44.594374	74.31067	34.5880990463
