Year	Latitude	Longitude	meanprecipitation
1997	37.966379	116.459047	217.0319502677
1997	36.561977	117.403927	165.1979608659
1997	34.85722	116.181197	157.1932934253
1997	35.390934	110.320908	326.0619438202
1997	35.385845	109.493747	379.1893450577
1997	44.494585	70.734688	1109.4460348328
1997	45.390602	68.657487	977.3798622276
1997	45.507482	69.97604	964.9457769335
1997	46.727057	68.64941	920.6582838195
1997	47.583852	92.463645	592.9997025482
1997	46.261481	105.550508	323.2289812347
1997	46.161734	106.701953	344.854941875
1997	48.365713	106.687883	291.1380547783
1997	47.281174	106.982212	296.6959237181
1997	45.407869	107.518163	468.8199783784
1997	44.492387	109.593598	686.7306134547
1997	45.421905	110.532798	809.5741857276
1997	45.133863	112.892869	591.6858287225
1997	45.535559	111.173443	765.4238185689
1997	46.844225	112.9311	711.7315069771
1997	47.122133	112.382954	634.8620372291
1997	48.314696	114.054319	1026.7753319539
1997	45.849237	115.467376	1111.3395350411
1997	44.771532	115.637875	887.6345356281
1997	44.928789	113.887841	604.2313409727
1997	44.273341	114.252251	596.6973368979
1997	43.394826	115.470751	487.8507262226
1997	43.1877	117.603976	283.0611837308
1997	42.593063	116.142655	305.7320857452
1997	43.064355	118.985949	308.9635356018
1997	43.285904	123.15438	1328.2201744308
1997	43.928276	122.897678	1659.4843777572
1997	42.788401	120.38979	336.2245169979
1997	42.683761	121.646168	656.8944620653
1997	41.587986	122.533287	966.348006627
1997	40.647724	123.114404	1327.3109560498
1997	40.706673	123.925818	1660.9677427606
1997	39.432388	123.442881	1277.6100379664
1997	36.240107	121.315573	545.4211918098
1997	36.761006	119.655019	466.528928859
1997	40.760522	122.04355	1215.8223803459
1997	40.721089	120.629931	443.4986976075
1997	40.703311	119.710315	284.2276111135
1997	41.407914	118.127592	274.5821386716
1997	39.977788	116.272208	300.7424697543
1997	39.900211	117.04724	277.8161134628
1997	41.141133	115.351424	354.6553099076
1997	39.417804	114.900945	355.5823312221
1997	37.634605	114.863037	271.606176376
1997	37.915836	118.875167	420.9823479452
1997	35.717705	113.749689	268.8075191627
1997	36.214236	115.013819	147.6113226334
1997	32.773942	113.910905	148.214017532
1997	33.729828	116.002239	211.4661984899
1997	34.196398	118.261862	325.510252883
1997	34.358742	119.133143	480.4323361467
1997	35.346629	118.729506	204.2941120816
1997	34.537378	120.038485	478.496881191
1997	30.770894	102.71986	382.5278206868
1997	37.318831	104.04411	515.5753551642
1997	33.361605	104.469837	509.3006329563
1997	34.93205	108.000255	460.6211065755
1997	32.128237	111.783018	294.2721835808
1997	33.346541	112.495534	203.5646794244
1997	35.829692	111.773728	379.8191903103
1997	37.275118	111.815413	386.1347855786
1997	37.623064	109.78932	344.0059264451
1997	36.509669	106.693983	552.1329540552
1997	39.599352	107.90978	743.0914848159
1997	39.972606	108.200685	641.6360034788
1997	37.831622	111.450886	446.1071626452
1997	39.710827	112.794262	389.8263943807
1997	40.125887	109.517748	436.272795493
1997	42.228788	110.679842	566.3466118202
1997	43.055303	108.605531	419.4804512417
1997	41.660339	108.875676	285.4003779023
1997	41.70359	106.933153	459.1600551156
1997	42.566985	101.072622	564.5439345511
1997	44.002349	102.823802	575.5662128667
1997	25.601043	81.206777	1556.5601732387
1997	40.943554	72.692218	1061.5172084509
1997	44.564906	68.370703	1001.5489428435
1997	44.967009	67.609354	997.0243500836
1997	44.973012	70.444727	1096.1935003457
1997	43.808348	70.330375	1078.5439990839
1997	43.926488	71.842264	1126.7081096996
1997	44.468791	72.112168	1113.5381066422
1997	44.724021	71.732736	1129.2114480596
1997	44.652419	71.289383	1141.5169724999
1997	45.917678	69.104548	982.4873458253
1997	44.108971	73.777573	1009.6743870626
1997	44.594374	74.31067	1013.9771259193
1997	44.75271	73.705648	883.7947228765
1997	44.488113	75.074311	987.6457896651
1997	45.489515	83.384019	670.052762879
1997	46.321819	84.52063	693.0571002323
1997	46.167981	85.303756	669.535924429
1997	45.513164	85.450392	693.4205426131
1997	45.805101	86.901373	661.8466216668
1997	46.020758	86.199352	688.5305746063
1997	47.080077	86.564108	706.3963039469
1997	46.656597	87.584028	712.1981400084
1997	45.544174	87.509892	659.3681278458
1997	45.346899	87.991198	665.6267005029
1997	45.259204	89.06819	724.0463366727
1997	45.713791	89.536693	760.3474317548
1997	46.488054	89.788314	794.3391509571
1997	46.049848	89.501254	783.9052032763
1997	46.998305	88.652066	719.2466063915
1997	47.216604	89.500461	795.1499034292
1997	47.681981	88.148802	646.7396328269
1997	47.517111	91.411704	581.9554108228
1997	47.538571	90.29019	612.7562083693
1997	46.546291	90.665154	703.5727041729
1997	45.211656	90.504853	759.9286769878
1997	45.472734	91.136745	738.2276450237
1997	46.463316	91.89258	591.8083023498
1997	46.634199	91.177282	623.5797619637
1997	46.602446	93.41976	643.289734045
1997	45.865255	92.367978	654.8878604053
1997	45.46803	92.453154	711.3410687135
1997	45.555235	94.610482	650.0077245216
1997	46.020484	94.266619	608.0432522237
1997	46.951427	94.333773	672.2512906751
1997	47.878825	94.986698	619.1043199642
1997	47.490843	93.613128	662.290512869
1997	48.24549	93.782842	581.4481674269
1997	48.7681	94.904634	567.4162380299
1997	48.768439	98.46379	481.9888010161
1997	48.376979	97.72223	517.5251907947
1997	47.926003	97.450851	549.1877788221
1997	48.362728	96.357761	568.0722366132
1997	48.761066	95.82153	553.7480438385
1997	48.069247	96.037725	603.6851128097
1997	47.774254	96.400027	630.8796276284
1997	47.575873	95.371117	668.5715963669
1997	46.937629	95.741757	694.9878081285
1997	46.362335	96.476657	599.0901324139
