Year	Latitude	Longitude	maxtemperature
1997	37.966379	116.459047	307.6277323228
1997	36.561977	117.403927	312.0882415663
1997	34.85722	116.181197	315.6110721862
1997	35.390934	110.320908	308.8357069577
1997	35.385845	109.493747	307.1542463368
1997	44.494585	70.734688	302.5053783106
1997	45.390602	68.657487	304.7687931353
1997	45.507482	69.97604	302.1449393273
1997	46.727057	68.64941	303.8155979594
1997	47.583852	92.463645	304.5964709483
1997	46.261481	105.550508	310.843509843
1997	46.161734	106.701953	309.8401408233
1997	48.365713	106.687883	308.6947398421
1997	47.281174	106.982212	310.1947791965
1997	45.407869	107.518163	307.9097804188
1997	44.492387	109.593598	299.4516777341
1997	45.421905	110.532798	300.3268543189
1997	45.133863	112.892869	300.2353758451
1997	45.535559	111.173443	301.3426160347
1997	46.844225	112.9311	301.8253716194
1997	47.122133	112.382954	302.7386264446
1997	48.314696	114.054319	302.971294335
1997	45.849237	115.467376	303.7864887574
1997	44.771532	115.637875	302.2436303515
1997	44.928789	113.887841	301.5052863615
1997	44.273341	114.252251	300.5061041803
1997	43.394826	115.470751	307.3051737835
1997	43.1877	117.603976	308.34464767
1997	42.593063	116.142655	308.1367705395
1997	43.064355	118.985949	306.882272807
1997	43.285904	123.15438	305.4597908961
1997	43.928276	122.897678	304.6908191295
1997	42.788401	120.38979	306.7959465233
1997	42.683761	121.646168	306.0650340517
1997	41.587986	122.533287	306.8092573615
1997	40.647724	123.114404	308.6874894959
1997	40.706673	123.925818	305.6515285569
1997	39.432388	123.442881	308.9232762685
1997	36.240107	121.315573	311.033219899
1997	36.761006	119.655019	310.4318680961
1997	40.760522	122.04355	310.4188127627
1997	40.721089	120.629931	307.1059633731
1997	40.703311	119.710315	307.5389812042
1997	41.407914	118.127592	308.5453957827
1997	39.977788	116.272208	306.1963100822
1997	39.900211	117.04724	307.2462801387
1997	41.141133	115.351424	305.5274435243
1997	39.417804	114.900945	305.293945439
1997	37.634605	114.863037	309.2990266782
1997	37.915836	118.875167	302.2461422002
1997	35.717705	113.749689	312.9702943222
1997	36.214236	115.013819	313.9401001471
1997	32.773942	113.910905	318.6602762799
1997	33.729828	116.002239	316.4674395428
1997	34.196398	118.261862	312.3494897067
1997	34.358742	119.133143	312.2504869965
1997	35.346629	118.729506	314.0804691861
1997	34.537378	120.038485	309.9807759602
1997	30.770894	102.71986	310.9603522057
1997	37.318831	104.04411	307.4399363313
1997	33.361605	104.469837	310.9120816881
1997	34.93205	108.000255	306.1946599374
1997	32.128237	111.783018	315.7856448857
1997	33.346541	112.495534	317.7901225133
1997	35.829692	111.773728	309.1529020006
1997	37.275118	111.815413	309.0009097897
1997	37.623064	109.78932	309.598221197
1997	36.509669	106.693983	303.663571199
1997	39.599352	107.90978	302.5367125814
1997	39.972606	108.200685	304.5157027367
1997	37.831622	111.450886	306.2659287109
1997	39.710827	112.794262	308.7036797432
1997	40.125887	109.517748	307.2397832984
1997	42.228788	110.679842	301.720671111
1997	43.055303	108.605531	303.5999289374
1997	41.660339	108.875676	305.351506036
1997	41.70359	106.933153	304.1820856315
1997	42.566985	101.072622	310.1670005859
1997	44.002349	102.823802	307.9637397132
1997	25.601043	81.206777	307.9534626424
1997	40.943554	72.692218	305.5773868539
1997	44.564906	68.370703	304.5987450979
1997	44.967009	67.609354	304.9384083621
1997	44.973012	70.444727	301.3428384499
1997	43.808348	70.330375	304.4359172534
1997	43.926488	71.842264	303.4927256655
1997	44.468791	72.112168	303.044007159
1997	44.724021	71.732736	301.5685824369
1997	44.652419	71.289383	300.9116435255
1997	45.917678	69.104548	303.0238908792
1997	44.108971	73.777573	303.5529054743
1997	44.594374	74.31067	303.255778099
1997	44.75271	73.705648	303.7981372719
1997	44.488113	75.074311	304.7227712145
1997	45.489515	83.384019	308.1304771382
1997	46.321819	84.52063	303.9432960236
1997	46.167981	85.303756	303.4265381681
1997	45.513164	85.450392	306.3210294198
1997	45.805101	86.901373	304.3868871706
1997	46.020758	86.199352	305.5805035681
1997	47.080077	86.564108	305.8923570115
1997	46.656597	87.584028	304.2654791952
1997	45.544174	87.509892	304.8573403355
1997	45.346899	87.991198	304.6811203499
1997	45.259204	89.06819	303.4416130279
1997	45.713791	89.536693	303.1329675304
1997	46.488054	89.788314	303.5698157124
1997	46.049848	89.501254	303.051842766
1997	46.998305	88.652066	304.0033000933
1997	47.216604	89.500461	304.4260222374
1997	47.681981	88.148802	302.8358850307
1997	47.517111	91.411704	304.6422119786
1997	47.538571	90.29019	303.4952632215
1997	46.546291	90.665154	304.3883659313
1997	45.211656	90.504853	304.3428092449
1997	45.472734	91.136745	305.0854562461
1997	46.463316	91.89258	305.6286030711
1997	46.634199	91.177282	306.0578329455
1997	46.602446	93.41976	305.3266628175
1997	45.865255	92.367978	306.3157105899
1997	45.46803	92.453154	306.3196520024
1997	45.555235	94.610482	307.5466017364
1997	46.020484	94.266619	306.8807835713
1997	46.951427	94.333773	305.1339896085
1997	47.878825	94.986698	304.8539981848
1997	47.490843	93.613128	304.9877779361
1997	48.24549	93.782842	304.8210738045
1997	48.7681	94.904634	304.8291378638
1997	48.768439	98.46379	305.0760598398
1997	48.376979	97.72223	307.0981944834
1997	47.926003	97.450851	306.8528293381
1997	48.362728	96.357761	305.966751882
1997	48.761066	95.82153	305.0681379042
1997	48.069247	96.037725	305.3759421333
1997	47.774254	96.400027	305.6147007258
1997	47.575873	95.371117	304.7015970492
1997	46.937629	95.741757	305.1588636232
1997	46.362335	96.476657	307.1058774433
1997	46.405725	95.714578	305.8208557683
