Year	Latitude	Longitude	mintemperature
1997	37.966379	116.459047	258.062125452
1997	36.561977	117.403927	265.4544993324
1997	34.85722	116.181197	270.0995636786
1997	35.390934	110.320908	257.4651644558
1997	35.385845	109.493747	255.6700247085
1997	44.494585	70.734688	246.7676606733
1997	45.390602	68.657487	245.7796842322
1997	45.507482	69.97604	243.624122638
1997	46.727057	68.64941	240.0660551981
1997	47.583852	92.463645	238.8588312484
1997	46.261481	105.550508	242.2228138894
1997	46.161734	106.701953	240.9836123518
1997	48.365713	106.687883	237.5919950425
1997	47.281174	106.982212	241.3026723435
1997	45.407869	107.518163	241.3620571095
1997	44.492387	109.593598	243.8315903247
1997	45.421905	110.532798	240.5883767693
1997	45.133863	112.892869	241.8901640068
1997	45.535559	111.173443	240.1211777931
1997	46.844225	112.9311	241.4721898046
1997	47.122133	112.382954	241.1949633132
1997	48.314696	114.054319	245.9531589363
1997	45.849237	115.467376	246.4597796176
1997	44.771532	115.637875	245.9455829481
1997	44.928789	113.887841	241.4371462593
1997	44.273341	114.252251	242.372723169
1997	43.394826	115.470751	252.1815953904
1997	43.1877	117.603976	255.113265173
1997	42.593063	116.142655	252.8233288679
1997	43.064355	118.985949	254.0770176336
1997	43.285904	123.15438	263.7135606796
1997	43.928276	122.897678	262.5286169463
1997	42.788401	120.38979	255.0452456062
1997	42.683761	121.646168	255.8652555747
1997	41.587986	122.533287	260.0025006945
1997	40.647724	123.114404	262.9504170789
1997	40.706673	123.925818	270.1869460904
1997	39.432388	123.442881	269.2253618917
1997	36.240107	121.315573	271.1316680336
1997	36.761006	119.655019	265.5652140501
1997	40.760522	122.04355	262.6272018501
1997	40.721089	120.629931	255.4655787483
1997	40.703311	119.710315	255.0771796407
1997	41.407914	118.127592	253.5793558394
1997	39.977788	116.272208	254.575331503
1997	39.900211	117.04724	255.5992203982
1997	41.141133	115.351424	253.5496307303
1997	39.417804	114.900945	254.4080397368
1997	37.634605	114.863037	259.5157196918
1997	37.915836	118.875167	252.5485489558
